,Year,Hobbyist,ConvertedComp,Country,EdLevel,Employment,JobSat,OrgSize,UndergradMajor,YearsCodePro,Data scientist or machine learning specialist,Database administrator,Data or business analyst,"Engineer, data"
13520,2019,Yes,100000.0,China,Bachelor's degree,"Independent contractor, freelancer, or self-employed",6.0,"Just me - I am a freelancer, sole proprietor, etc.",Computer science,4.0,0,1,0.0,0.0
13521,2019,Yes,70000.0,United States,Master's degree,Employed full-time,6.0,"1,000 to 4,999 employees",Information systems,1.0,1,0,1.0,1.0
13522,2019,No,56142.0,Spain,Master's degree,Employed full-time,6.0,10 to 19 employees,Computer science,7.0,0,1,0.0,0.0
13523,2019,Yes,34372.0,Italy,Master's degree,Employed full-time,6.0,10 to 19 employees,Computer science,12.0,1,0,0.0,0.0
13524,2019,No,17868.0,Spain,Professional degree,Employed full-time,4.0,2 to 9 employees,I never declared a major,7.0,0,1,0.0,0.0
13526,2019,No,21996.0,Portugal,Bachelor's degree,"Independent contractor, freelancer, or self-employed",5.0,"Just me - I am a freelancer, sole proprietor, etc.",Computer science,12.0,0,0,1.0,0.0
13527,2019,Yes,106645.0,Norway,Bachelor's degree,Employed full-time,2.0,20 to 99 employees,Computer science,12.0,1,1,1.0,1.0
13528,2019,Yes,156000.0,United States,Doctoral degree,Employed full-time,6.0,"5,000 to 9,999 employees",Computer science,4.0,1,0,0.0,0.0
13529,2019,Yes,80155.0,Canada,Associate degree,Employed full-time,8.0,500 to 999 employees,Computer science,5.0,0,0,1.0,0.0
13530,2019,Yes,35329.0,United Kingdom,Bachelor's degree,Employed full-time,5.0,100 to 499 employees,Computer science,1.0,0,1,1.0,0.0
13531,2019,Yes,150000.0,United States,Master's degree,Employed full-time,6.0,100 to 499 employees,Mathematics or statistics,2.0,1,0,1.0,0.0
13533,2019,Yes,80000.0,United States,Bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,2 to 9 employees,Computer science,10.0,0,1,0.0,0.0
13534,2019,No,4404.0,Mongolia,Master's degree,Employed full-time,6.0,"1,000 to 4,999 employees",Computer science,7.0,0,1,0.0,0.0
13535,2019,Yes,41244.0,Estonia,Bachelor's degree,Employed full-time,6.0,2 to 9 employees,Computer science,15.0,0,1,0.0,0.0
13536,2019,Yes,64162.0,Netherlands,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,"1,000 to 4,999 employees",I never declared a major,13.0,1,1,0.0,1.0
13537,2019,Yes,95000.0,United States,Bachelor's degree,Employed full-time,6.0,500 to 999 employees,Web development or web design,5.0,0,0,0.0,1.0
13539,2019,No,52339.0,United Kingdom,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Natural science,8.0,0,1,0.0,0.0
13540,2019,No,101000.0,United States,Bachelor's degree,Employed full-time,6.0,"5,000 to 9,999 employees",Mathematics or statistics,7.0,1,0,1.0,1.0
13541,2019,No,65000.0,United States,Bachelor's degree,Employed full-time,8.0,10 to 19 employees,Computer science,2.0,0,1,1.0,0.0
13542,2019,Yes,24048.0,Poland,Bachelor's degree,Employed full-time,6.0,"10,000 or more employees",Computer science,2.0,0,0,0.0,1.0
13543,2019,Yes,99444.0,United Kingdom,Bachelor's degree,Employed full-time,5.0,100 to 499 employees,Computer science,8.0,0,1,0.0,0.0
13544,2019,No,53437.0,Canada,Bachelor's degree,Employed full-time,4.0,10 to 19 employees,Computer science,7.0,0,1,1.0,0.0
13545,2019,Yes,81780.0,United Kingdom,Master's degree,Employed full-time,6.0,100 to 499 employees,Computer science,12.0,1,1,0.0,0.0
13546,2019,Yes,53442.0,Poland,Associate degree,"Independent contractor, freelancer, or self-employed",6.0,"Just me - I am a freelancer, sole proprietor, etc.",Social science,11.0,0,1,0.0,1.0
13547,2019,Yes,5976.0,Kenya,Bachelor's degree,Employed full-time,5.0,100 to 499 employees,Computer science,2.0,0,1,0.0,1.0
13548,2019,Yes,196250.0,United Kingdom,Bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,"Just me - I am a freelancer, sole proprietor, etc.",Computer science,24.0,0,1,0.0,0.0
13549,2019,No,97389.0,Germany,Bachelor's degree,Employed full-time,2.0,"5,000 to 9,999 employees",Business,5.0,0,0,1.0,0.0
13550,2019,Yes,10104.0,Greece,Bachelor's degree,Employed full-time,5.0,100 to 499 employees,Computer science,1.0,0,0,0.0,1.0
13551,2019,Yes,110000.0,United States,Bachelor's degree,Employed full-time,2.0,"1,000 to 4,999 employees",Computer science,15.0,0,1,0.0,0.0
13552,2019,Yes,57287.0,Netherlands,Master's degree,Employed full-time,6.0,"10,000 or more employees",Natural science,5.0,0,0,0.0,1.0
13553,2019,Yes,95000.0,United States,Bachelor's degree,Employed full-time,6.0,"10,000 or more employees",Computer science,2.0,1,0,0.0,1.0
13554,2019,Yes,230000.0,United States,Master's degree,Employed full-time,8.0,100 to 499 employees,Social science,12.0,1,0,0.0,0.0
13555,2019,Yes,170000.0,United States,Bachelor's degree,Employed full-time,8.0,"10,000 or more employees",Computer science,13.0,0,0,0.0,1.0
13556,2019,Yes,3360.0,India,Bachelor's degree,Employed full-time,5.0,10 to 19 employees,Computer science,1.0,0,1,0.0,0.0
13557,2019,Yes,160405.0,Ireland,Bachelor's degree,"Independent contractor, freelancer, or self-employed",4.0,"5,000 to 9,999 employees",Computer science,21.0,0,0,0.0,1.0
13558,2019,Yes,33000.0,Russian Federation,Professional degree,Employed full-time,5.0,2 to 9 employees,Computer science,10.0,0,1,0.0,0.0
13559,2019,Yes,432.0,Indonesia,Bachelor's degree,Employed part-time,4.0,2 to 9 employees,Information systems,2.0,0,1,0.0,0.0
13560,2019,Yes,200000.0,United States,Master's degree,Employed full-time,6.0,"1,000 to 4,999 employees",Computer science,9.0,1,0,0.0,1.0
13561,2019,Yes,62807.0,United Kingdom,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,11.0,0,1,0.0,0.0
13562,2019,No,61032.0,Israel,Master's degree,Employed full-time,6.0,20 to 99 employees,Humanities,1.0,1,0,0.0,0.0
13563,2019,Yes,48121.0,Greece,Bachelor's degree,Employed full-time,5.0,20 to 99 employees,Computer science,4.0,0,0,0.0,1.0
13564,2019,Yes,12828.0,Poland,Bachelor's degree,Employed full-time,6.0,100 to 499 employees,Computer science,2.0,0,0,0.0,1.0
13565,2019,Yes,68903.0,Australia,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Web development or web design,9.0,0,1,0.0,0.0
13566,2019,No,41892.0,Sweden,Some college/university study without earning a bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,2 to 9 employees,Computer science,2.0,0,1,0.0,0.0
13567,2019,Yes,44460.0,Belarus,Bachelor's degree,Employed full-time,4.0,"10,000 or more employees",Another engineering discipline,10.0,0,0,0.0,1.0
13568,2019,Yes,120000.0,United States,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Mathematics or statistics,2.0,1,0,0.0,0.0
13570,2019,Yes,70000.0,United States,Bachelor's degree,Employed full-time,8.0,500 to 999 employees,Computer science,4.0,1,0,0.0,0.0
13571,2019,Yes,95000.0,United States,Master's degree,Employed full-time,6.0,"10,000 or more employees",Mathematics or statistics,5.0,1,0,1.0,0.0
13572,2019,Yes,85931.0,Germany,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,100 to 499 employees,Computer science,22.0,0,1,0.0,0.0
13573,2019,No,41871.0,United Kingdom,Bachelor's degree,Employed full-time,6.0,100 to 499 employees,Computer science,1.0,0,0,0.0,1.0
13574,2019,Yes,52339.0,United Kingdom,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,100 to 499 employees,I never declared a major,5.0,0,1,1.0,0.0
13575,2019,Yes,82494.0,Germany,Bachelor's degree,Employed full-time,4.0,"1,000 to 4,999 employees",Computer science,7.0,0,0,0.0,1.0
13576,2019,Yes,66276.0,Sweden,Bachelor's degree,Employed full-time,6.0,10 to 19 employees,Computer science,7.0,1,0,0.0,1.0
13577,2019,Yes,35637.0,Czech Republic,Master's degree,Employed full-time,8.0,100 to 499 employees,Computer science,20.0,0,0,0.0,1.0
13578,2019,Yes,160000.0,United States,Bachelor's degree,Employed full-time,8.0,100 to 499 employees,Computer science,16.0,1,1,1.0,1.0
13579,2019,Yes,48413.0,United Kingdom,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,7.0,0,0,1.0,0.0
13580,2019,Yes,180000.0,United States,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Computer science,10.0,0,0,0.0,1.0
13581,2019,Yes,6684.0,Kenya,Bachelor's degree,"Independent contractor, freelancer, or self-employed",4.0,2 to 9 employees,Computer science,5.0,0,1,0.0,0.0
13583,2019,Yes,140000.0,United States,Master's degree,Employed full-time,8.0,2 to 9 employees,Natural science,4.0,0,0,0.0,1.0
13584,2019,Yes,1632.0,Syrian Arab Republic,Bachelor's degree,Employed full-time,6.0,10 to 19 employees,Information systems,1.0,0,1,1.0,0.0
13585,2019,Yes,19590.0,India,Master's degree,Employed full-time,8.0,100 to 499 employees,Computer science,4.0,1,0,0.0,0.0
13586,2019,Yes,35006.0,United States,Bachelor's degree,Employed full-time,4.0,100 to 499 employees,Computer science,1.0,1,0,0.0,1.0
13587,2019,Yes,220000.0,United States,Bachelor's degree,Employed full-time,4.0,"10,000 or more employees",Computer science,30.0,0,0,0.0,1.0
13588,2019,Yes,150000.0,United States,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Business,18.0,0,1,1.0,0.0
13590,2019,Yes,64000.0,United States,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Natural science,4.0,1,1,0.0,0.0
13591,2019,Yes,48120.0,Belgium,Bachelor's degree,Employed full-time,4.0,500 to 999 employees,Information systems,12.0,0,1,0.0,0.0
13592,2019,Yes,47160.0,Finland,Master's degree,Employed full-time,5.0,"1,000 to 4,999 employees",Another engineering discipline,3.0,1,1,0.0,0.0
13593,2019,Yes,82494.0,Bulgaria,Bachelor's degree,"Independent contractor, freelancer, or self-employed",4.0,20 to 99 employees,Computer science,13.0,0,0,1.0,0.0
13594,2019,No,37528.0,South Africa,Master's degree,Employed part-time,6.0,"5,000 to 9,999 employees",Another engineering discipline,7.0,0,0,0.0,1.0
13595,2019,Yes,150000.0,United States,Doctoral degree,Employed full-time,6.0,2 to 9 employees,Computer science,12.0,1,0,0.0,1.0
13596,2019,Yes,92000.0,United States,Master's degree,Employed full-time,8.0,10 to 19 employees,Computer science,11.0,1,1,0.0,0.0
13597,2019,Yes,43284.0,Ukraine,Master's degree,Employed full-time,6.0,20 to 99 employees,Computer science,8.0,1,0,1.0,0.0
13598,2019,Yes,140.0,India,Bachelor's degree,Employed full-time,5.0,2 to 9 employees,Web development or web design,2.0,0,1,0.0,0.0
13599,2019,Yes,34368.0,Lithuania,Bachelor's degree,Employed full-time,4.0,20 to 99 employees,Computer science,13.0,0,0,1.0,0.0
13600,2019,Yes,19608.0,Austria,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Computer science,2.0,0,1,0.0,0.0
13601,2019,Yes,45803.0,Canada,Some college/university study without earning a bachelor's degree,Employed part-time,8.0,"10,000 or more employees",Computer science,1.0,0,1,0.0,0.0
13602,2019,Yes,16092.0,India,Bachelor's degree,Employed full-time,6.0,"5,000 to 9,999 employees",Computer science,5.0,1,0,0.0,1.0
13603,2019,Yes,41247.0,France,Associate degree,Employed full-time,8.0,"Just me - I am a freelancer, sole proprietor, etc.",Computer science,29.0,0,1,0.0,0.0
13604,2019,Yes,150000.0,United States,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,11.0,0,1,0.0,1.0
13605,2019,No,19200.0,Costa Rica,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,6.0,0,1,0.0,0.0
13606,2019,Yes,26328.0,Denmark,Bachelor's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Computer science,1.0,1,0,0.0,0.0
13607,2019,Yes,27492.0,Netherlands,Associate degree,Employed full-time,8.0,10 to 19 employees,Web development or web design,4.0,0,1,0.0,0.0
13608,2019,Yes,82000.0,United States,Bachelor's degree,Employed full-time,8.0,2 to 9 employees,Web development or web design,4.0,0,1,0.0,0.0
